sentence,ic,ner
tôi có thể mua hàng không?,handoff,O O O O O O
mình thử mấy lần rồi,handoff,O O O O O
có sử cho bé 5 tuổi ko,handoff,O O O O B-inform#age I-inform#age O
m vào web đặt đc chưa nhỉ,handoff,O O O O O O O
shop còn bộ này k?,handoff,O O B-inform#object_type B-inform#mention O
set này bán theo bộ hay có bán riêng quần soóc không shop?,handoff,O O O O O O O O O B-inform#object_type I-inform#object_type O O
thì đc báo k đang lỗi,handoff,O O O O O O
hệ thống ko mở ch ở thanh hoá nữa à bạn?,handoff,O O O O O O B-inform#location I-inform#location O O O
vào web ko thấy,handoff,O O O O
của hàng ở địa chỉ nào nhỉ?,handoff,O O O O O O O
sip về bắc ninh phí mất ko a,handoff,O O B-inform#location I-inform#location O O O O
nhưng lại bị rộng,handoff,O O O O
nghe bạn nhân viên bên đó nói nếu vẫn còn tag thì mang váy và tag váy ra sẽ được đổi sản phẩm khác đúng ko vậy,handoff,O O O O O O O O O O O O O O O O O O O O O O O O O O O
là thứ 7 ck lại đến ngày chủ nhật k thấy hồi âm gì,handoff,O O O O O O O O O O O O O O
"giặt ra bị phai màu, nước đen",handoff,O O O O O O O
có mẫu nào chất liệu lanh không ạ,handoff,O O O O O B-inform#material O O
địa chỉ nhận hàng: trung tâm phục vụ hành chính công tỉnh quảng ninh 277 đường nguyễn văn cừ- hồng hà- tp. hạ long- quảng ninh tầng 2 quầy 51,handoff,O O O O O O O O O O O O B-inform#location I-inform#location O O O O O O O O O O B-inform#location I-inform#location O O O O
bên e tl lâu quá,handoff,O O O O O
trên web m thấy k ghi rõ đc,handoff,O O O O O O O O
cho mình hỏi khẩu trang còn ko ạ,handoff,O O O O O O O O
"ship chị [chân váy]{""entity"": ""inform#object_type"", ""value"": ""chan_vay""} nha",handoff,O O O O O O O O
"đổi [quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} cam sang [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} này em nha:",handoff,O O O O O B-inform#color O O O O O B-inform#mention O O
bên mình có hàng tồn kho cần thanh lý ko vậy?,handoff,O O O O O O O O O O O
mk muốn mua tại cửa hàng,handoff,O O O O O O
dáng áo này có bị cộc k ạ,handoff,O B-inform#object_type B-inform#mention O O O O O
nếu k vừa thì có đổi đc k ạ?,handoff,O O O O O O O O O
"có [quần leging]{""entity"": ""inform#object_type"", ""value"": ""legging""} mùa hè cho bé k ạ",handoff,O O O O O O B-inform#season I-inform#season O O O O
"xem giúp chị [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} này cho bé 40kg còn ở cs linh đàm ko?",handoff,O O O O O O O B-inform#mention O O B-inform#weight O O O B-inform#location I-inform#location O
có qua mua trực tiếp đc k shop?,handoff,O O O O O O O O
chất liệu cotton mát mẻ shop nhé,handoff,O O B-inform#material O O O O
ui shop ơi sao đơn này của mình thanh toán đầy đủ hết rồi mà shop ko giao thế. ncc hẹn ngày lấy suốt. sốt ruột thế. đơn này có 1 chiếc mình còn mua tặn sinh nhật cho cháu. mà nhắn tin trên shopee shop lại báo đã giao bên vận chuyển rồi. mà shopee vẫn cập nhật ncc hẹn ngày lấy. bình thường mình mua đồ trên shopee cho con nhanh quá trời.,handoff,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"[áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} với [chân váy]{""entity"": ""inform#object_type"", ""value"": ""chan_vay""} lại tách riêng hả b",handoff,O O O O O O O O O O O O O O O
cho chị xin số đt để trao đổi,handoff,O O O O O O O O
thử ở đâu có tại hn e,handoff,O O O O O B-inform#location O
vậy b ship tới địa chỉ chỗ em mình ở hà nội đc k?,handoff,O O O O O O O O O O B-inform#location I-inform#location O O
shop oi con khuyến mại dc tặng khẩu trang cho bé k ạ,handoff,O O O O O O O O O O O O O
gui minh mot so mã cho bé 5 tuoi,handoff,O O O O O O O B-inform#age I-inform#age
có nóng ko shop,handoff,O O O O
cho m xin lại ảnh đc ko,handoff,O O O O O O O
"nhà đối diện trường cấp 2 cũ thị trấn hồ, thuận thành bắc ninh",handoff,O O O O O O O O O O O O B-inform#location I-inform#location
chất có mềm ko ạ,handoff,O O O O O
"[áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} còn ở cơ sở nào b?",handoff,O O O O O O O O O O
"định mua thêm nữa mà cứ sợ chật, hay rộng lại mất công đổi c ạ",handoff,O O O O O O O O O O O O O O O O
xin hỏi cửa hang nào của kcloset ở khu vực hoàng mai hoặc hai bà trưng còn khẩu trang cho bé ko ạ?,handoff,O O B-inform#object_type O O O B-inform#object_type O O O B-inform#location I-inform#location O B-inform#location I-inform#location I-inform#location O O O O O O O
"ở tttm the gardan, đường mễ trì, hn còn khẩu trang không em?",handoff,O O O O O O O B-inform#location O B-inform#object_type I-inform#object_type O O
bạn có thể cho tôi biết thêm về quảng cáo của bạn không?,handoff,O O O O O O O O O O O O O
shop có bán quá shoppee ko hay nghỉ dịch ah,handoff,O O O O O O O O O O
"[áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} này còn sale k bạn?",handoff,O O O O B-inform#mention O O O O
còn mẫu giữ nhiệt nào cho bé gái nữa k ạ,handoff,O O O O O O B-inform#gender I-inform#gender O O O
có những mẫu thu nào cho bạn 40kg gửi link c xem nhé. c thấy toàn đồ kid,handoff,O O O O O O O B-inform#weight O O O O O O O O O O
hãng có tuyển cộng tác viên bán quần áo ko vậy?,handoff,O O O O O O O O O O O
em thấy shop mình đang tuyển ctv bán hàng phải ko ạ,handoff,O O O O O O O O O O O O
áp dụng tất cả các cửa hàng phải ko shop,handoff,O O O O O O O O O O
đặt hàng ol có được chương trình off 50% ko em. với cả mấy ngày hàng mới về em?,handoff,O O O O O O O O O O O O O O O O O O O
bên mình còn khẩu trang người lớn ko ạ?,handoff,O O O O O O O O O
"gửi hình ảnh cho [quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} bé trai 7 tuổi 25-26kg",handoff,O O O O O O O O B-inform#gender I-inform#gender B-inform#age I-inform#age B-inform#weight
chị thanh toán chuyển khoản em ship nhanh giúp c dc ko,handoff,O O O O O O O O O O O O
vậy là mua online ko đc khuyến mãi phải ko bạn?,handoff,O O O O O O O O O O O
em ơi bên m cửa hàng linh đàm còn mở cửa k e nhri? c qua nhận khẩu trang đã dky,handoff,O O O O O O B-inform#location I-inform#location O O O O O O O O O O O O O
shop cho hỏi cơ sở lạc trung còn khẩu trang 12 tuổi ko,handoff,O O O O O B-inform#location I-inform#location O O O B-inform#age I-inform#age O
"nếu có sẵn c gé thử hoặc mang về thử ý, vì bé c ốm cái bụng 22 ký e",handoff,O O O O O O O O O O O O O O O O O B-inform#weight I-inform#weight O
thôi mình lấy bộ màu xanh thui,handoff,O O O O B-inform#color I-inform#color O
khi nào có ở cửa hàng báo e nhé,handoff,O O O O O O O O O
"shop cho mình số tk, mình ck cho shop nhé?",handoff,O O O O O O O O O O
"sẽ ck lại cho mình [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} bị thiếu",handoff,O O O O O O O O O O O
"đc hoàng thị thanh huyền, trung tâm y tế huyện yên lập tỉnh phú thọ. sđt 0973547919",handoff,O O O O O O O O O O B-inform#location I-inform#location O B-inform#location I-inform#location O O
ở cửa hàng có giảm không,handoff,O O O O O O
từ 11/6 có chương trình mua 1 tặng 1 nghĩa là sao e,handoff,O O O O O O O O O O O O O
ớ sao b bảo ship 20 - 25k mà,handoff,O O O O O O O O O
cho mình hỏi muốn đổi hàng thì phải qua cửa hàng mình mua mới đổi đc hay đổi đc cả hệ thống ạ shop,handoff,O O O O O O O O O O O O O O O O O O O O O O O O
có những màu gì sh ơi,handoff,O O O O O O
nguyễn trãi còn hàng nào k em?,handoff,B-inform#location I-inform#location O O O O O
có túi khág khuẩn kèm đúng k ah,handoff,O O O O O O O O
rồi shop sẽ ck lại,handoff,O O O O O
bên em có hỗ trợ gì đc thêm ko,handoff,O O O O O O O O O
khi nào hàng về bạn nhắn mình nhé,handoff,O O O O O O O O
nên muốn hỏi k's closet xem váy này đổi đc ntn,handoff,O O O O O O O O O O O
hoặc có thể chịu phí ship để đổi dc ko,handoff,O O O O O O O O O O
hôm nay c nhận đc hàng k e,handoff,O O O O O O O O
cho mình xin sđt cơ sở phố huế đc ko shop?,handoff,O O O O O O B-inform#location I-inform#location O O O
mình xem website mà bị lỗi ko xem đc,handoff,O O O O O O O O O
"ad ơi, bên cửa hàng có chạy ctrinh này ko ạ",handoff,O O O O O O O O B-inform#mention O O
cơ sở yên phụ hoặc lạc long quân ạ,handoff,O O B-inform#location I-inform#location O B-inform#location I-inform#location I-inform#location O
chất liệu jh ạ,handoff,O O O O
"shop cho em hoi [yếm]{""entity"": ""inform#object_type"", ""value"": ""yem""} này dời hay gi a",handoff,O O O O O O O O B-inform#mention O O O O
và ảnh thật của sản phẩm ạ,handoff,O O O O O O O
khẩu trang người lớn deo dc ko,handoff,O O O O O O O
"nếu mua mặc ko vừa, m có thể đến cửa hàng để đổi hay vẫn đổi qua shopee bạn?",handoff,O O O O O O O O O O O O O O O O O O O
bạn ơi sao t theo dõi kclset trên shoppee mà ko có mã voucher 30k,handoff,O O O O O O O O O O O O O O O
352349987,handoff,O
"mình đc tặng 2 cái [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} của hãng mình, nhưng 1 cái bị chật, mình coa thể đổi đc ko?",handoff,O O O O O O O O O O O O O O O O O O O O O O O
"cho mình đặt 1 bộ cho bạn nữ cao 1,55 40 kg",handoff,O O O O O O O B-inform#gender O B-inform#height B-inform#weight I-inform#weight
"[áo dài]{""entity"": ""inform#object_type"", ""value"": ""ao""} có 1 tặng 1 ko e",handoff,O O O O O O O O O O O
979608808,handoff,O
"cảm ơn shop mình chỉ muốn mua [áo dài]{""entity"": ""inform#object_type"", ""value"": ""ao""} vải thường shop nhé",handoff,O O O O O O O O O O O O B-inform#material O O O
"về bị rộng một [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""}",handoff,O O O O O O O O
"mình làm rơi mất hoá đơn ở đâu ko rõ, mình muốn đổi size mũ to lên đc ko",handoff,O O O O O O O O O O O O O O O O O O O
thông cảm cho c,handoff,O O O O
đợi e nhắn lại thì chị qua mua xong rồi e à :),handoff,O O O O O O O O O O O O O
"[áo dài]{""entity"": ""inform#object_type"", ""value"": ""ao""} này có bán riêng của mẹ ko",handoff,O O O O O B-inform#mention O O O O O O
mà hôm qua chị mua lúc 7h tối ko giảm cho chị,handoff,O O O O O O O O O O O O
thanks shop trả lời. đại lý trên sóc sơn cũng được giảm 50% chứ shop?,handoff,O O O O O O O B-inform#location I-inform#location O O O O O O
"hnay 1 người nói là nhân viên của k'closet nói còn thiếu 1 món hàng nên gửi 4 món cho mình và mình vẫn thanh toán đủ, sau đó sẽ shop sẽ ck cho mình sau",handoff,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
đăt online dc ko e,handoff,O O O O O
shop ok bảo giờ muộn rồi mai ck lại,handoff,O O O O O O O O O
sao mình đặt mua trên shoppe lại báo nghỉ bán vậy,handoff,O O O O O O O O O O O
còn khuyến mãi k b,handoff,O O O O O
mình vào tìm mẫu bên trang web rồi nhắn mua online đc ko shop,handoff,O O O O O O O O O O O O O O
cho em xin địa chỉ cửa hàng ở hà nội với ạ,handoff,O O O O O O O O B-inform#location I-inform#location O O
mẫu này sale 50% ha shop,handoff,B-inform#mention I-inform#mention O O O O
"mình mình đặt [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} này size 1 nhé",handoff,O O O O O O O B-inform#mention O O O
"ban ơi mình hỏi chút, mình mua [váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} này của nhà bạn nhưng mua trên shopee, hix h nó to quá mình qua cửa hàng đổi đc ko",handoff,O O O O O O O O O O O B-inform#mention O O O O O O O O O O O O O O O O O O O
"shop có [vest]{""entity"": ""inform#object_type"", ""value"": ""ao_vest""} cho bé 2y ko ạ",handoff,O O O O O O O O B-inform#age O O
vĩnh yên giờ có cửa hàng nũa ko ạ,handoff,B-inform#location I-inform#location O O O O O O O
c gọi mà k thấy nghe máy. c đag tìm đường,handoff,O O O O O O O O O O O
hôm mình mua shop có báo đc đổi đến hết ngày 31/7,handoff,O O O O O O O O O O O O
bộ này mỏng hay dầy hả b,handoff,B-inform#mention I-inform#mention O O O O O
bạn đã trl chậm thì khi trl tập trung trả lời đúng trọng tâm của kh,handoff,O O O O O O O O O O O O O O O O
shop có thể cho mình xem một số mẫu đc k ạ,handoff,O O O O O O O O O O O O
mình mua bị giao nhầm màu này,handoff,O O O O O B-inform#mention I-inform#mention
"chị hỏi [quần jogger]{""entity"": ""inform#object_type"", ""value"": ""quan""}",handoff,O O O O O O O
trang phục halloween k có trên web à,handoff,B-inform#object_type I-inform#object_type B-inform#season O O O O O
chất liệu gì b,handoff,O O O O
"mình muốn xem các sp [áo dài]{""entity"": ""inform#object_type"", ""value"": ""ao""} thì xem ở đâu vậy ship?",handoff,O O O O O O O O O O O O O O O O
shop có thể cho em xin thông tin liên hệ của đại diện mua hàng được không ạ,handoff,O O O O O O O O O O O O O O O O O O
"shop ơi, mình có mua đơn hàng trên shopee ship về 113 quán thánh trong hôm nay. tớ mới nhận được và có thử cho bé thì hơi rộng. liệu có đổi được không nhỉ?",handoff,O O O O O O O O O O O B-inform#location I-inform#location I-inform#location O O O O O O O O O O O O O O O O O O O O O
mình có cửa hàng ở hcm ko ạ,handoff,O O O O O B-inform#location O O
mình muốn ra đổi 1 cái có đc ko,handoff,O O O O O O O O O
"bạn ơi. hôm qua mình có mua đồ ở cơ sở trần đăng ninh mình đang liên hệ để đổi đồ, thì ko liên lạc được. số hotline cũng ko liên hệ được.",handoff,O O O O O O O O O O O B-inform#location I-inform#location I-inform#location O O O O O O O O O O O O O O O O O O O
bạn ơi cho mình hỏi chính sách nhượng quyền bên bạn như thế nào,handoff,O O O O O O O O O O O O O O
cho mình hỏi các sản phẩm này còn không nhé,handoff,O O O O B-inform#mention I-inform#mention I-inform#mention O O O
shop có bán khẩu trang trẻ em ko ạ,handoff,O O O O O O O O O
bạn nhà chị vừa 47kg nhưng bụng to,handoff,O O O O B-inform#weight O O O
"shop oi chất liệu mỏng bò này mỏng hay dày ạ, be nhà mình 8t",handoff,O O O O O B-inform#material B-inform#mention O O O O O O O O
hn shop k ship à?,handoff,B-inform#location O O O O
mình ở linh đàm nhưng lđ chẳng còn đồ j cả. huhu.,handoff,O O B-inform#location I-inform#location O O O O O O O O
shop chốt đơn giúp mình với,handoff,O O O O O O
"số dt mình là 0983350034, địa chỉ 994 láng, đống đa, hn",handoff,O O O O O O O O O B-inform#location I-inform#location B-inform#location
chị muốn mua cái bờm của set kia thì có bán riêng ko em,handoff,O O O O O O B-inform#object_type B-inform#mention O O O O O O
nhớ cho chị kt hàng,handoff,O O O O O
"[bộ]{""entity"": ""inform#mention"", ""value"": ""bo""} này còn ở cửa hàng nào shop?",handoff,O O O O B-inform#mention O O O O O O
tuy nhiên do dịch nên từ giữa tháng 2 là mình ko còn ở kv đó nữa.,handoff,O O O O O O O O O O O O O O O O O
m muốn ship về nhà đc k,handoff,O O O O O O O
nãy xem web k thấy mẫu này,handoff,O O O O O B-inform#mention I-inform#mention
